peak_lambda,doctors_day,doctors_night,nurses_day,nurses_night,xray_units,critical_prob,avg_los,avg_consult_wait,avg_diag_wait,throughput,consult_queue,diag_queue,doctor_util,xray_util,total_arrivals,dropped_patients,config
15,5,4,9,7,2,0.2,71.09040506074547,18.025532872364977,27.64357955627282,193.408,0.254,0.133,41.814884241192374,60.542677831742274,282.575,0,Baseline
15,4,3,9,7,2,0.2,62.30634030329661,12.59054388726115,22.931850132080516,130.544,0.082,0.037,14.408612055782527,16.655734277622592,281.623,0,Config 1
15,5,4,9,7,1,0.2,91.76050750348564,18.690971622083566,52.059127342867725,191.362,0.198,0.096,31.64538669325985,70.5120552104318,281.314,0,Config 2
15,5,4,9,7,3,0.2,48.08155018919584,10.352862329472417,13.58654963309533,195.376,0.073,0.036,11.218335949784167,11.231960056509449,282.266,0,Config 3
